date,TLV,TCVL,ETH Price
2018-01-01T00:00:00Z,48518175,,692.99
2018-02-01T00:00:00Z,78328314,126846489,1063.75
2018-03-01T00:00:00Z,98820460,225666949,871.58
2018-04-01T00:00:00Z,66446158,292113107,393.82
2018-05-01T00:00:00Z,156692266,448805373,689.31
2018-06-01T00:00:00Z,160486751,609292124,557.12
2018-07-01T00:00:00Z,177598862,786890986,435.25
2018-08-01T00:00:00Z,180555294,967446280,456.56
2018-09-01T00:00:00Z,163660642,1131106922,284.15
2018-10-01T00:00:00Z,209433400,1340540322,231.32
2018-11-01T00:00:00Z,210598021,1551138343,196.19
2018-12-01T00:00:00Z,192329145,1743467488,117.48
2019-01-01T00:00:00Z,274673495,2018140983,141.33
2019-02-01T00:00:00Z,243962670,2262103653,109.04
2019-03-01T00:00:00Z,326110471,2588214124,135.94
2019-04-01T00:00:00Z,361943674,2950157798,143.29
2019-05-01T00:00:00Z,406904724,3357062522,156.69
2019-06-01T00:00:00Z,539873268,3896935790,254.45
2019-07-01T00:00:00Z,571565168,4468500958,317.32
2019-08-01T00:00:00Z,482687142,4951188100,209.82
2019-09-01T00:00:00Z,467969811,5419157911,168.52
2019-10-01T00:00:00Z,518976367,5938134278,169.68
2019-11-01T00:00:00Z,617630139,6555764417,183.52
2019-12-01T00:00:00Z,685659478,7241423895,154.94
2020-01-01T00:00:00Z,672785990,7914209885,131.41
2020-02-01T00:00:00Z,896514978,8810724863,184.47
2020-03-01T00:00:00Z,969985971,9780710834,227.56
2020-04-01T00:00:00Z,636677471,11365967938,132.31
